algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_visitados,encontrou_caminho,comprimento_caminho,memoria_kb
astar_Euclidian,grande,1,7101.0,136725,True,25207,31380.89
astar_Euclidian,grande,2,22039.28,434452,True,86463,113827.02
astar_Euclidian,grande,3,7954.37,182312,True,25143,54750.5
astar_Euclidian,grande,4,21861.92,433975,True,91427,113620.45
astar_Euclidian,grande,5,17110.68,336177,True,47011,86397.47
astar_Euclidian,grande,6,18770.23,383875,True,64347,111367.26
astar_Euclidian,grande,7,10460.02,209100,True,38327,55258.86
astar_Euclidian,grande,8,13935.36,283182,True,60115,65795.88
astar_Euclidian,grande,9,15068.62,310105,True,48003,68841.73
astar_Euclidian,grande,10,7696.97,146348,True,28123,32870.57
astar_Euclidian,grande,11,23566.16,469130,True,69395,118860.89
astar_Euclidian,grande,12,11248.87,228012,True,28655,57098.61
astar_Euclidian,grande,13,15454.48,314662,True,41463,86278.89
astar_Euclidian,grande,14,18723.27,390529,True,61555,112618.8
astar_Euclidian,grande,15,13182.75,259724,True,86959,62614.2
astar_Euclidian,grande,16,22998.57,463686,True,57699,118116.66
astar_Euclidian,grande,17,16010.22,303065,True,56475,68044.61
astar_Euclidian,grande,18,23997.54,490091,True,77759,121964.83
astar_Euclidian,grande,19,22383.25,465729,True,93123,118340.12
astar_Euclidian,grande,20,23762.02,471866,True,102219,119342.66
