algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_visitados,encontrou_caminho,comprimento_caminho,memoria_kb
astar_Euclidian,medio,1,168.98,5245,True,2523,1269.13
astar_Euclidian,medio,2,315.91,9029,True,2399,1850.97
astar_Euclidian,medio,3,266.12,8486,True,2195,1675.79
astar_Euclidian,medio,4,167.52,5587,True,2183,1573.06
astar_Euclidian,medio,5,353.97,10006,True,2987,1844.26
astar_Euclidian,medio,6,146.01,4854,True,1631,691.97
astar_Euclidian,medio,7,262.36,7411,True,1855,1591.3
astar_Euclidian,medio,8,189.99,6017,True,2059,1573.75
astar_Euclidian,medio,9,245.66,7880,True,1999,1632.4
astar_Euclidian,medio,10,279.66,8482,True,2107,1693.61
astar_Euclidian,medio,11,280.21,8199,True,2159,1665.7
astar_Euclidian,medio,12,216.02,6783,True,1855,1586.0
astar_Euclidian,medio,13,142.17,4748,True,1259,697.41
astar_Euclidian,medio,14,226.62,6993,True,2187,1576.53
astar_Euclidian,medio,15,249.13,7142,True,1755,1589.04
astar_Euclidian,medio,16,266.53,8464,True,3131,1692.02
astar_Euclidian,medio,17,165.96,5591,True,1303,1556.48
astar_Euclidian,medio,18,265.39,8350,True,2247,1684.95
astar_Euclidian,medio,19,159.63,4749,True,1503,705.44
astar_Euclidian,medio,20,157.89,4631,True,1243,673.3
