algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_visitados,encontrou_caminho,comprimento_caminho,memoria_kb
astar_Euclidian,pequeno,1,5.26,165,True,83,19.33
astar_Euclidian,pequeno,2,4.01,176,True,87,30.73
astar_Euclidian,pequeno,3,2.48,111,True,51,19.38
astar_Euclidian,pequeno,4,4.26,197,True,115,30.64
astar_Euclidian,pequeno,5,4.1,189,True,103,30.64
astar_Euclidian,pequeno,6,3.76,168,True,67,30.77
astar_Euclidian,pequeno,7,2.41,108,True,63,19.26
astar_Euclidian,pequeno,8,4.28,198,True,91,30.71
astar_Euclidian,pequeno,9,2.35,107,True,67,19.26
astar_Euclidian,pequeno,10,3.16,145,True,79,19.3
astar_Euclidian,pequeno,11,1.61,75,True,51,7.45
astar_Euclidian,pequeno,12,3.71,169,True,99,30.64
astar_Euclidian,pequeno,13,3.94,181,True,123,30.64
astar_Euclidian,pequeno,14,3.04,135,True,59,19.41
astar_Euclidian,pequeno,15,1.47,65,True,59,7.45
astar_Euclidian,pequeno,16,3.09,140,True,83,19.26
astar_Euclidian,pequeno,17,2.34,106,True,63,19.26
astar_Euclidian,pequeno,18,4.08,185,True,131,30.66
astar_Euclidian,pequeno,19,2.41,108,True,63,19.36
astar_Euclidian,pequeno,20,4.3,199,True,111,30.66
