algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_visitados,encontrou_caminho,comprimento_caminho,memoria_kb
astar_Manhattan,grande,1,7156.14,135929,True,25207,31281.92
astar_Manhattan,grande,2,21057.36,434069,True,86463,113768.9
astar_Manhattan,grande,3,9067.54,179109,True,25143,54748.0
astar_Manhattan,grande,4,22124.09,433533,True,91427,113563.6
astar_Manhattan,grande,5,16672.44,335545,True,47011,86412.85
astar_Manhattan,grande,6,19619.91,383063,True,64347,111358.41
astar_Manhattan,grande,7,10438.22,207401,True,38327,55252.73
astar_Manhattan,grande,8,13953.67,282509,True,60115,65687.07
astar_Manhattan,grande,9,15165.54,308733,True,48003,68669.9
astar_Manhattan,grande,10,7775.47,145993,True,28123,32817.5
astar_Manhattan,grande,11,24229.29,468993,True,69395,118832.11
astar_Manhattan,grande,12,12244.45,225191,True,28655,56762.22
astar_Manhattan,grande,13,19005.35,313933,True,41463,69802.42
astar_Manhattan,grande,14,22821.15,388079,True,61555,112655.89
astar_Manhattan,grande,15,14393.92,259563,True,86959,62583.37
astar_Manhattan,grande,16,24633.25,463491,True,57699,118087.93
astar_Manhattan,grande,17,14971.59,302195,True,56475,67917.12
astar_Manhattan,grande,18,25044.86,490025,True,77759,121955.28
astar_Manhattan,grande,19,25093.37,465493,True,93123,118314.8
astar_Manhattan,grande,20,24002.54,471545,True,102219,119286.51
