algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_visitados,encontrou_caminho,comprimento_caminho,memoria_kb
astar_Manhattan,medio,1,173.96,5219,True,2523,1271.5
astar_Manhattan,medio,2,325.99,9015,True,2399,1850.65
astar_Manhattan,medio,3,276.36,8417,True,2195,1669.56
astar_Manhattan,medio,4,171.15,5415,True,2183,1238.41
astar_Manhattan,medio,5,337.43,10005,True,2987,1830.27
astar_Manhattan,medio,6,162.63,4765,True,1631,685.92
astar_Manhattan,medio,7,228.98,7085,True,1855,1567.66
astar_Manhattan,medio,8,265.59,5983,True,2059,1571.68
astar_Manhattan,medio,9,491.44,7847,True,1999,1631.64
astar_Manhattan,medio,10,538.28,8425,True,2107,1695.34
astar_Manhattan,medio,11,514.65,8195,True,2159,1664.36
astar_Manhattan,medio,12,416.68,6721,True,1855,1586.86
astar_Manhattan,medio,13,271.87,4671,True,1259,690.97
astar_Manhattan,medio,14,325.58,6913,True,2187,1588.15
astar_Manhattan,medio,15,243.96,7097,True,1755,1580.74
astar_Manhattan,medio,16,270.83,8463,True,3131,1689.89
astar_Manhattan,medio,17,170.29,5483,True,1303,1555.56
astar_Manhattan,medio,18,274.79,8343,True,2247,1695.37
astar_Manhattan,medio,19,162.94,4739,True,1503,697.94
astar_Manhattan,medio,20,138.77,4531,True,1243,663.25
