algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_visitados,encontrou_caminho,comprimento_caminho,memoria_kb
astar_Manhattan,medio-grande,1,4517.56,107245,True,22831,26570.85
astar_Manhattan,medio-grande,2,4207.33,94265,True,20427,26438.95
astar_Manhattan,medio-grande,3,6257.65,123865,True,19667,28594.8
astar_Manhattan,medio-grande,4,2733.56,65533,True,11899,14647.08
astar_Manhattan,medio-grande,5,5150.76,100537,True,18891,26355.35
astar_Manhattan,medio-grande,6,2328.57,52523,True,15251,12967.15
astar_Manhattan,medio-grande,7,2833.68,70257,True,12275,14704.13
astar_Manhattan,medio-grande,8,3213.72,79379,True,14359,19609.16
astar_Manhattan,medio-grande,9,5154.24,93261,True,18127,26462.64
astar_Manhattan,medio-grande,10,3081.2,75049,True,12975,15550.93
astar_Manhattan,medio-grande,11,3832.72,94075,True,13527,26359.63
astar_Manhattan,medio-grande,12,4063.47,79169,True,17415,19518.51
astar_Manhattan,medio-grande,13,4017.77,90271,True,10995,26804.85
astar_Manhattan,medio-grande,14,3474.09,82929,True,28795,20150.95
astar_Manhattan,medio-grande,15,2262.09,52723,True,10903,13394.67
astar_Manhattan,medio-grande,16,5062.11,95173,True,21755,26070.76
astar_Manhattan,medio-grande,17,2717.01,66787,True,11615,14277.77
astar_Manhattan,medio-grande,18,3921.03,96167,True,28219,26079.45
astar_Manhattan,medio-grande,19,6060.84,116783,True,33415,27533.27
astar_Manhattan,medio-grande,20,3700.6,90621,True,19803,26279.99
