algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_visitados,encontrou_caminho,comprimento_caminho,memoria_kb
astar_Manhattan,pequeno,1,4.53,165,True,83,19.26
astar_Manhattan,pequeno,2,3.72,175,True,87,30.67
astar_Manhattan,pequeno,3,1.95,91,True,51,19.29
astar_Manhattan,pequeno,4,4.12,197,True,115,30.64
astar_Manhattan,pequeno,5,3.96,189,True,103,30.64
astar_Manhattan,pequeno,6,3.41,165,True,67,19.29
astar_Manhattan,pequeno,7,2.37,107,True,63,19.26
astar_Manhattan,pequeno,8,4.06,191,True,91,30.64
astar_Manhattan,pequeno,9,2.22,105,True,67,19.26
astar_Manhattan,pequeno,10,2.98,141,True,79,19.26
astar_Manhattan,pequeno,11,1.5,69,True,51,7.45
astar_Manhattan,pequeno,12,3.51,167,True,99,19.26
astar_Manhattan,pequeno,13,3.85,181,True,123,30.64
astar_Manhattan,pequeno,14,2.75,135,True,59,19.29
astar_Manhattan,pequeno,15,1.45,65,True,59,7.45
astar_Manhattan,pequeno,16,2.91,135,True,83,19.26
astar_Manhattan,pequeno,17,2.18,105,True,63,19.26
astar_Manhattan,pequeno,18,3.94,185,True,131,30.64
astar_Manhattan,pequeno,19,2.26,105,True,63,19.29
astar_Manhattan,pequeno,20,4.16,199,True,111,30.64
