algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_visitados,encontrou_caminho,comprimento_caminho,memoria_kb
DFS,medio,1,310.4,5408,True,2523,1138.35
DFS,medio,2,580.09,9313,True,2399,1423.5
DFS,medio,3,490.96,8648,True,2195,1354.92
DFS,medio,4,330.6,5840,True,2183,1073.32
DFS,medio,5,575.09,10131,True,2987,1517.25
DFS,medio,6,292.47,5192,True,1631,1073.64
DFS,medio,7,445.56,7951,True,1855,1278.53
DFS,medio,8,349.18,6227,True,2059,1090.12
DFS,medio,9,448.63,8023,True,1999,1286.23
DFS,medio,10,489.0,8715,True,2107,1362.14
DFS,medio,11,475.86,8347,True,2159,1321.45
DFS,medio,12,399.21,7086,True,1855,1184.25
DFS,medio,13,276.15,4951,True,1259,1073.04
DFS,medio,14,405.03,7205,True,2187,1197.22
DFS,medio,15,424.18,7433,True,1755,1221.87
DFS,medio,16,481.64,8479,True,3131,1335.84
DFS,medio,17,352.0,6221,True,1303,1089.37
DFS,medio,18,476.01,8386,True,2247,1325.89
DFS,medio,19,284.54,4873,True,1503,556.99
DFS,medio,20,287.34,5116,True,1243,1073.64
