algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_visitados,encontrou_caminho,comprimento_caminho,memoria_kb
DFS,medio-grande,1,8308.63,111890,True,22831,19573.31
DFS,medio-grande,2,6903.39,96153,True,20427,16953.25
DFS,medio-grande,3,9209.08,123876,True,19667,21280.57
DFS,medio-grande,4,4903.18,65957,True,11899,11157.18
DFS,medio-grande,5,7361.19,100541,True,18891,17885.14
DFS,medio-grande,6,3863.94,53324,True,15251,9224.18
DFS,medio-grande,7,5128.35,72641,True,12275,11601.5
DFS,medio-grande,8,5801.02,83241,True,14359,16325.7
DFS,medio-grande,9,6822.5,94194,True,18127,16912.5
DFS,medio-grande,10,5994.25,82259,True,12975,16737.83
DFS,medio-grande,11,7021.42,98067,True,13527,17187.5
DFS,medio-grande,12,5544.76,80858,True,17415,16242.92
DFS,medio-grande,13,6971.8,95541,True,10995,17149.44
DFS,medio-grande,14,6254.29,85632,True,28795,16886.23
DFS,medio-grande,15,4058.71,52891,True,10903,9562.11
DFS,medio-grande,16,6882.07,96793,True,21755,16882.19
DFS,medio-grande,17,4824.07,68676,True,11615,11002.4
DFS,medio-grande,18,6728.76,96565,True,28219,16777.9
DFS,medio-grande,19,8525.76,116820,True,33415,20068.2
DFS,medio-grande,20,6544.53,91371,True,19803,16318.64
