algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_visitados,encontrou_caminho,comprimento_caminho,memoria_kb
DFS,pequeno,1,9.76,166,True,83,10.52
DFS,pequeno,2,10.55,196,True,87,11.14
DFS,pequeno,3,7.32,145,True,51,10.52
DFS,pequeno,4,9.99,201,True,115,10.52
DFS,pequeno,5,9.5,189,True,103,10.52
DFS,pequeno,6,10.4,201,True,67,10.52
DFS,pequeno,7,6.72,126,True,63,10.52
DFS,pequeno,8,10.59,200,True,91,10.52
DFS,pequeno,9,7.09,129,True,67,10.52
DFS,pequeno,10,9.73,166,True,79,10.52
DFS,pequeno,11,6.86,118,True,51,10.52
DFS,pequeno,12,9.13,174,True,99,10.52
DFS,pequeno,13,9.55,184,True,123,10.52
DFS,pequeno,14,8.69,159,True,59,10.52
DFS,pequeno,15,4.01,79,True,59,10.52
DFS,pequeno,16,9.77,179,True,83,10.52
DFS,pequeno,17,6.1,121,True,63,10.52
DFS,pequeno,18,9.36,186,True,131,10.52
DFS,pequeno,19,6.37,127,True,63,10.52
DFS,pequeno,20,9.79,199,True,111,10.52
