algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_visitados,encontrou_caminho,comprimento_caminho,memoria_kb
DFS,grande,1,24177.89,274417,True,25207,52287.44
DFS,grande,2,27126.2,320001,True,86463,73488.3
DFS,grande,3,40603.22,476015,True,25143,90897.36
DFS,grande,4,17931.41,221339,True,91427,41279.66
DFS,grande,5,26702.3,304823,True,47011,56840.75
DFS,grande,6,23524.19,274545,True,64347,51264.95
DFS,grande,7,40573.35,475921,True,38327,90513.74
DFS,grande,8,39044.55,455889,True,60115,87629.9
DFS,grande,9,21008.53,237209,True,48003,46403.32
DFS,grande,10,3519.28,43531,True,28123,8413.3
DFS,grande,11,26664.04,308247,True,69395,56951.45
DFS,grande,12,41473.15,485023,True,28655,92053.63
DFS,grande,13,40905.07,479937,True,41463,91341.96
DFS,grande,14,39631.75,467307,True,61555,89115.11
DFS,grande,15,37451.29,439947,True,86959,85300.23
DFS,grande,16,28013.64,338283,True,57699,71860.52
DFS,grande,17,39438.96,464805,True,56475,88993.34
DFS,grande,18,35872.72,419403,True,77759,82641.52
DFS,grande,19,33434.06,386341,True,93123,78136.88
DFS,grande,20,28369.28,328921,True,102219,74382.01
