algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_visitados,encontrou_caminho,comprimento_caminho,memoria_kb
DFS,medio,1,612.54,10549,True,2523,1566.42
DFS,medio,2,313.15,5439,True,2399,1076.24
DFS,medio,3,226.61,3979,True,2195,461.27
DFS,medio,4,461.36,7939,True,2183,1280.44
DFS,medio,5,458.5,7965,True,2987,1283.91
DFS,medio,6,564.15,9731,True,1631,1475.56
DFS,medio,7,177.28,3151,True,1855,369.61
DFS,medio,8,300.78,5253,True,2059,1075.48
DFS,medio,9,456.41,7891,True,1999,1273.96
DFS,medio,10,594.44,10267,True,2107,1533.82
DFS,medio,11,196.99,3453,True,2159,404.5
DFS,medio,12,321.48,5445,True,1855,1075.37
DFS,medio,13,645.52,10969,True,1259,1609.52
DFS,medio,14,439.73,7663,True,2187,1250.85
DFS,medio,15,640.0,11079,True,1755,1620.73
DFS,medio,16,579.01,10027,True,3131,1510.73
DFS,medio,17,612.19,10441,True,1303,1550.24
DFS,medio,18,371.52,6347,True,2247,1104.87
DFS,medio,19,637.84,10839,True,1503,1596.42
DFS,medio,20,489.13,8481,True,1243,1336.55
