algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_visitados,encontrou_caminho,comprimento_caminho,memoria_kb
DFS,medio-grande,1,8772.79,115793,True,22831,20301.65
DFS,medio-grande,2,5909.91,73397,True,20427,12792.15
DFS,medio-grande,3,9126.74,118735,True,19667,20672.3
DFS,medio-grande,4,2004.15,28279,True,11899,5682.24
DFS,medio-grande,5,6738.0,84963,True,18891,17622.32
DFS,medio-grande,6,8742.69,115689,True,15251,20246.46
DFS,medio-grande,7,9231.1,121175,True,12275,21006.99
DFS,medio-grande,8,6126.71,85411,True,14359,16310.23
DFS,medio-grande,9,3601.09,49783,True,18127,8640.55
DFS,medio-grande,10,6876.67,93025,True,12975,16808.45
DFS,medio-grande,11,3774.63,48371,True,13527,8969.34
DFS,medio-grande,12,5098.01,68307,True,17415,11500.68
DFS,medio-grande,13,3249.17,39761,True,10995,7992.68
DFS,medio-grande,14,8044.34,107609,True,28795,19041.43
DFS,medio-grande,15,7706.01,104463,True,10903,18345.28
DFS,medio-grande,16,5962.27,79781,True,21755,16932.94
DFS,medio-grande,17,9040.99,119663,True,11615,20770.74
DFS,medio-grande,18,8743.82,116211,True,28219,20329.97
DFS,medio-grande,19,5964.58,78939,True,33415,17037.78
DFS,medio-grande,20,4491.06,59879,True,19803,10220.35
