algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_visitados,encontrou_caminho,comprimento_caminho,memoria_kb
DFS,pequeno,1,7.76,137,True,83,12.6
DFS,pequeno,2,8.21,133,True,87,10.0
DFS,pequeno,3,3.54,67,True,51,2.5
DFS,pequeno,4,10.42,201,True,115,10.0
DFS,pequeno,5,8.99,173,True,103,10.0
DFS,pequeno,6,5.18,101,True,67,10.0
DFS,pequeno,7,7.57,145,True,63,10.0
DFS,pequeno,8,4.93,93,True,91,10.0
DFS,pequeno,9,8.84,173,True,67,10.0
DFS,pequeno,10,10.21,197,True,79,10.0
DFS,pequeno,11,10.28,201,True,51,10.0
DFS,pequeno,12,9.02,177,True,99,10.0
DFS,pequeno,13,8.99,175,True,123,10.0
DFS,pequeno,14,9.32,181,True,59,10.0
DFS,pequeno,15,10.38,201,True,59,10.0
DFS,pequeno,16,10.45,197,True,83,10.0
DFS,pequeno,17,3.46,67,True,63,2.5
DFS,pequeno,18,9.46,185,True,131,10.0
DFS,pequeno,19,3.43,69,True,63,2.5
DFS,pequeno,20,8.83,173,True,111,10.0
