algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_unicos_visitados,encontrou_caminho,comprimento_passos_totais,memoria_kb,tempo_treinamento_ms,episodios_treinamento,taxa_aprendizado,fator_desconto,exploracao_inicial,exploracao_final,total_atualizacoes
Q-Learning,pequeno,1,1426.99,63,False,4855,201.11,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,2,1478.95,125,False,4947,318.08,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,3,1501.81,114,False,5071,230.03,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,4,1491.56,119,False,4953,210.76,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,5,1478.25,162,False,5061,229.27,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,6,1479.28,79,False,4981,220.94,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,7,1476.19,47,False,4933,216.44,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,8,1481.4,73,False,4820,196.49,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,9,137.58,68,True,469,7.22,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,10,1446.09,145,True,4907,208.97,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,11,1503.77,154,False,4884,290.43,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,12,1050.14,99,True,3519,132.8,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,13,1022.24,73,True,3345,107.13,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,14,1488.25,121,False,4965,210.46,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,15,1243.98,128,True,4167,175.92,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,16,1481.73,76,False,4839,201.28,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,17,1493.11,87,False,4906,220.95,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,18,1481.66,70,False,5148,215.18,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,19,1469.23,89,False,4906,221.01,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
Q-Learning,pequeno,20,1469.1,82,False,4916,211.5,2659238.22,3000,0.05,0.9,1.0,0.01,5122833
