algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_unicos_visitados,encontrou_caminho,comprimento_passos_totais,memoria_kb,tempo_treinamento_ms,episodios_treinamento,taxa_aprendizado,fator_desconto,exploracao_inicial,exploracao_final,total_atualizacoes
Q-Learning_Baseline,pequeno,1,4.83,83,True,83,11.01,165947.93,3000,0.3,0.9,1.0,0.1,509135
Q-Learning_Baseline,pequeno,2,5.63,87,True,87,11.01,180114.43,3000,0.3,0.9,1.0,0.1,544238
Q-Learning_Baseline,pequeno,3,3.07,51,True,51,3.12,113214.95,3000,0.3,0.9,1.0,0.1,329769
Q-Learning_Baseline,pequeno,4,6.75,115,True,115,11.01,225533.66,3000,0.3,0.9,1.0,0.1,682307
Q-Learning_Baseline,pequeno,5,6.01,103,True,103,11.01,201531.13,3000,0.3,0.9,1.0,0.1,597281
Q-Learning_Baseline,pequeno,6,4.08,67,True,67,3.31,145224.53,3000,0.3,0.9,1.0,0.1,431135
Q-Learning_Baseline,pequeno,7,3.75,63,True,63,3.22,119914.77,3000,0.3,0.9,1.0,0.1,404097
Q-Learning_Baseline,pequeno,8,5.32,91,True,91,11.01,181666.34,3000,0.3,0.9,1.0,0.1,504275
Q-Learning_Baseline,pequeno,9,4.02,67,True,67,3.31,131532.06,3000,0.3,0.9,1.0,0.1,422675
Q-Learning_Baseline,pequeno,10,4.61,79,True,79,11.01,161073.32,3000,0.3,0.9,1.0,0.1,502466
Q-Learning_Baseline,pequeno,11,3.04,51,True,51,3.12,102942.4,3000,0.3,0.9,1.0,0.1,322402
Q-Learning_Baseline,pequeno,12,6.07,99,True,99,11.01,189732.78,3000,0.3,0.9,1.0,0.1,588543
Q-Learning_Baseline,pequeno,13,7.37,123,True,123,11.01,228458.41,3000,0.3,0.9,1.0,0.1,724501
Q-Learning_Baseline,pequeno,14,3.63,59,True,59,3.22,134178.78,3000,0.3,0.9,1.0,0.1,395652
Q-Learning_Baseline,pequeno,15,3.49,59,True,59,3.22,112271.6,3000,0.3,0.9,1.0,0.1,378362
Q-Learning_Baseline,pequeno,16,4.65,83,True,83,11.01,169248.82,3000,0.3,0.9,1.0,0.1,532428
Q-Learning_Baseline,pequeno,17,3.65,63,True,63,3.22,127116.58,3000,0.3,0.9,1.0,0.1,411586
Q-Learning_Baseline,pequeno,18,7.72,131,True,131,11.01,241343.63,3000,0.3,0.9,1.0,0.1,774293
Q-Learning_Baseline,pequeno,19,3.6,63,True,63,3.22,126564.24,3000,0.3,0.9,1.0,0.1,397136
Q-Learning_Baseline,pequeno,20,6.41,111,True,111,11.01,208946.22,3000,0.3,0.9,1.0,0.1,661022
